unit_id,connection_type,technology,tier,rsp,state_or_territory,geography,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
59419353,NBN fixed wireless,Fixed Wireless,Fixed Wireless Plus 100/20,,QLD,Remote,FALSE,FALSE,3c:7xxxxxx,140.56,88.58,144.52,140.24,107.62,143.44,23.58,5.38,24.07,23.52,22.45,24.07,16.16,13.25,29.11,16.17,14.53,22.41,0
45564641,NBN,Hybrid Fibre Coaxial,250/25 Mbps,TPG,QLD,Urban,FALSE,FALSE,98:dxxxxxx,249.92,135.04,269.06,247.83,148.36,269.06,18.77,18.42,18.95,18.76,18.44,18.91,11.09,10.28,13.76,11.01,10.28,12.44,0
23244521,NBN,Fibre to the Premises,100/40 Mbps,Optus,QLD,Urban,FALSE,FALSE,a0:1xxxxxx,96.36,51.06,109.41,96.66,63.53,109.28,37.37,32.54,38.24,37.33,35.8,37.68,3.68,3,15.22,3.73,3.1,6.8,0.03
135073771,NBN,Fibre to the Premises,50/20 Mbps,Telstra,QLD,Urban,FALSE,FALSE,40:axxxxxx,52.25,27.86,55.09,51.66,35.73,54.88,18.83,13.16,19,18.73,16.44,18.97,2.6,2.22,35.78,2.84,2.33,10.33,0.03
3880941,NBN very high speed services,Hybrid Fibre Coaxial,500-990/50 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,08:3xxxxxx,938.36,518.46,956.58,936.95,899.78,943.99,47.39,43.15,47.67,47.38,47.27,47.45,7.71,7.26,8.28,7.77,7.26,8.28,0
5071853,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Leaptel,QLD,Major Rural,FALSE,FALSE,58:1xxxxxx,862.55,39.85,935.57,800.79,39.85,932.67,47.34,45.53,47.48,47.35,46.49,47.48,3.04,2.81,25.5,3.9,2.86,14.9,0.11
81801713,Non-NBN fixed line services,Fibre to the Premises,100/20 Mbps,,QLD,,FALSE,FALSE,6c:5xxxxxx,111.8,91.93,112.34,111.67,100.35,112.25,18.37,17.39,18.49,18.39,18.13,18.48,4.68,4.21,7.61,4.7,4.26,5.55,0
26490097,NBN very high speed services,Hybrid Fibre Coaxial,500-990/50 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,44:4xxxxxx,938.75,912.1,945.49,937.26,912.1,941.14,47.26,46.62,47.44,47.24,47.1,47.41,8.32,7.56,9.64,8.55,7.7,9.56,0.23
11285745,NBN,Fibre to the Node,50/20 Mbps,Leaptel,QLD,Urban,FALSE,FALSE,a4:9xxxxxx,47.08,19.84,51.53,43.93,19.84,51.45,8.28,6.92,9.35,8.07,6.92,9.04,10.05,8.64,40.78,12,8.96,40.78,0
131627509,NBN,Fibre to the Premises,50/20 Mbps,TPG,QLD,Urban,FALSE,FALSE,08:bxxxxxx,52.96,44.67,53.64,52.49,44.67,53.5,18.83,18.31,19.13,18.79,18.54,18.9,8.86,7.71,28.46,9.67,7.96,28.46,0
6986485,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,00:0xxxxxx,42.04,20.01,45.64,40.92,22.45,45.6,7.36,4.16,8.9,7.33,6.62,8.9,13.34,9.82,69.54,13.76,11.12,26.1,0
133872890,NBN Satellite Services,Satellite,50/10 Mbps,,TAS,Major Rural,FALSE,FALSE,cc:4xxxxxx,39.49,5.96,55.77,32.22,5.96,54.7,8.93,2.58,10.12,7.92,2.58,9.96,607.84,582.28,647.86,618.8,590.48,647.86,0.16
3030013,NBN,Fibre to the Curb,50/20 Mbps,Optus,QLD,Urban,FALSE,FALSE,d0:6xxxxxx,54.48,42.87,55.4,54.1,42.87,55.21,18.67,18.47,18.99,18.66,18.54,18.68,5.98,5.87,9.07,6.11,5.9,9.07,0
78151165,NBN,Fibre to the Node,100/20 Mbps,Optus,QLD,Urban,FALSE,FALSE,c4:fxxxxxx,98.47,52.24,103.19,98.28,67.35,103.02,17.88,15.2,18.28,17.86,16.73,18.18,10.81,6.33,38.45,10.72,6.35,25.93,0
23116289,NBN,Fibre to the Premises,100/40 Mbps,Dodo & iPrimus,WA,Urban,FALSE,FALSE,1c:3xxxxxx,106.06,85.67,106.81,105.8,85.67,106.74,37.7,37.35,37.76,37.69,37.44,37.75,3.87,3.72,4.69,3.93,3.77,4.3,0.03
26490117,NBN,Fibre to the Node,50/20 Mbps,iiNet,WA,Urban,TRUE,FALSE,10:1xxxxxx,38.72,11.04,40.37,37.95,24.4,40.37,7.69,7.1,8.61,7.66,7.17,8.11,10.07,6.3,20.55,10.4,6.32,20.55,0
106454797,NBN,Fibre to the Premises,100/20 Mbps,Exetel,WA,Urban,FALSE,FALSE,8c:3xxxxxx,108.53,84.88,109.12,108.46,102.32,108.91,18.85,18.3,18.92,18.81,18.3,18.9,2.57,2.2,4.66,2.61,2.43,3.85,0
134710036,NBN,Fibre to the Premises,100/20 Mbps,Leaptel,WA,Urban,FALSE,FALSE,10:2xxxxxx,106.14,93.87,106.98,105.3,99.53,106.84,18.96,18.5,19.04,18.96,18.88,19.03,2,1.95,2.78,2.04,1.96,2.78,0.06
106456085,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Superloop,WA,Urban,FALSE,FALSE,c2:5xxxxxx,931.88,854.43,937,933.26,924.18,936.94,47.3,46.44,47.45,47.35,47.28,47.4,2.16,1.91,2.72,2.18,2.12,2.56,0.03
